1,1112
1,1113
1,1116
2,1111
2,1112
2,1115
2,1117
3,1112
4,1112
3,1113
4,1114
3,1115
4,1116
3,1117
4,1111
75,1112
76,1112
77,1112
78,1112
79,1112
80,1112
81,1112
82,1112
83,1112
84,1112
85,1112
86,1112
87,1112
88,1112
89,1112
90,1112
91,1112
92,1112
93,1112
94,1112
95,1112
75,1113
76,1113
77,1113
78,1113
79,1113
80,1113
81,1113
82,1113
83,1113
84,1113
85,1113
86,1113
87,1113
88,1113
89,1113
90,1113
91,1113
92,1113
93,1113
94,1113
95,1113
75,1114
76,1114
77,1114
78,1114
79,1114
80,1114
81,1114
82,1114
83,1114
84,1114
85,1114
86,1114
87,1114
88,1114
89,1114
90,1114
91,1114
92,1114
93,1114
94,1114
95,1114
75,1117
76,1117
77,1117
78,1117
79,1117
80,1117
81,1117
82,1117
83,1117
84,1117
85,1117
86,1117
87,1117
88,1117
89,1117
90,1117
91,1117
92,1117
93,1117
94,1117
95,1117
